iso3,quarter_t,gdp_current_usd,total_exports_usd_k,total_imports_usd_k,population,tariff_ahs_weighted,tariff_mfn_weighted,vax_q,TCU
SGP,2006Q3,140889.71843942636,207548887.84505185,170926525.48866335,4.366633757392229,3.659487779544402,4.7100286433753125,207548887.84505188,80.61796666666667
SGP,2006Q4,148627.0,212429051.09,173851036.15,4.407058,3.52,4.48,212429051.08999997,80.26896666666666
SGP,2007Q1,156906.80908011593,217095260.4697658,176364104.72687694,4.44972601954358,3.3864513366093103,4.244594436873953,217095260.4697658,80.41106666666667
SGP,2007Q2,165442.43690160694,222832698.295479,179431185.13833827,4.4957413818769325,3.2772603351189376,4.0704704059920465,222832698.295479,80.88213333333333
SGP,2007Q3,173676.24998657592,230827993.7106076,183965013.79833204,4.5449267650614305,3.2167101152692985,4.0357256066496285,230827993.71060756,80.77623333333334
SGP,2007Q4,180942.0,242197720.43,190846501.5,4.596515,3.23,4.22,242197720.43,80.9464
SGP,2008Q1,186686.894325348,256991758.41470015,200190406.900905,4.649429812576392,3.326770285718423,4.650923078642681,256991758.41470015,80.75423333333333
SGP,2008Q2,190799.6509321675,271845614.29052335,209616199.43846923,4.702926811877739,3.467984029902438,5.191354704511688,271845614.29052335,79.7066
SGP,2008Q3,193170.91125926425,282446376.4506938,216060457.04682907,4.75607552080887,3.603794027309689,5.665050743608324,282446376.4506938,77.06583333333333
SGP,2008Q4,193617.0,284088658.01,216205444.14,4.806741,3.68,5.88,284088658.01,73.57866666666666
SGP,2009Q1,192370.2581566392,274454815.3412516,208462553.73608083,4.852649761372822,3.661143134238547,5.718453720744134,274454815.3412516,69.22233333333334
SGP,2009Q2,190847.58523145565,258176020.54176453,196234400.18704236,4.89510185324617,3.5740464776913043,5.296428184359468,258176020.54176456,67.108
SGP,2009Q3,190828.7008386593,241822078.35605827,184371556.60610172,4.933919646537757,3.459023816361025,4.7849252371028,241822078.35605827,68.1631
SGP,2009Q4,194150.0,232446049.28,178071639.27,4.9685675,3.36,4.37,232446049.28,69.49936666666667
SGP,2010Q1,201836.82166545067,234920660.21817243,180849306.45735392,4.998576939907745,3.3118880994289137,4.190871686479675,234920660.21817243,71.28696666666667
SGP,2010Q2,213054.2304239924,246909755.90884987,190775638.76818728,5.025964763648694,3.3114976967770415,4.198401017534709,246909755.90884987,73.17823333333332
SGP,2010Q3,226295.9928814233,264593659.5892935,204753700.02925497,5.051815052506595,3.3507342398025703,4.31344107915217,264593659.5892935,74.57026666666667
SGP,2010Q4,239808.0,283683816.14,219320306.12,5.077014,3.42,4.45,283683816.14,75.09500000000001
SGP,2011Q1,251938.7625177415,300327346.24468863,231473411.93218267,5.10201099357268,3.505588522470154,4.537477168042078,300327346.24468863,75.60456666666666
SGP,2011Q2,262719.46239607496,314366891.388963,241402321.57813472,5.127878345883158,3.5915527833475283,4.580222232683494,314366891.388963,75.79986666666667
SGP,2011Q3,271951.4996595952,325639753.70199865,249404231.42939937,5.154694653421689,3.657068014224513,4.59507472106315,325639753.7019987,76.40249999999999
SGP,2011Q4,279356.0,333904541.89,255739125.84,5.182239,3.68,4.6,333904541.8899999,76.76616666666666
SGP,2012Q1,284846.6616700765,339186629.6430899,260633346.64603913,5.21015330876617,3.6484805680382726,4.60955955879659,339186629.6430899,77.06173333333334
SGP,2012Q2,288933.77210612025,342204719.77945846,264003692.4385044,5.238262980871735,3.5846572501623415,4.622710755416117,342204719.77945846,77.12526666666666
SGP,2012Q3,292182.8624195935,343718604.00765955,265590339.2434105,5.266292916175848,3.5179539858821403,4.634607132886173,343718604.00765955,76.73880000000001
SGP,2012Q4,295093.0,344457775.95,265072169.74,5.2933395,3.48,4.64,344457775.95,76.76943333333332
SGP,2013Q1,298043.2767520735,345114314.95722246,262510792.165446,5.318369594931821,3.488655370321577,4.634562966236037,345114314.95722246,77.03093333333334
SGP,2013Q2,301160.3179749253,346147335.21299183,258851709.07261875,5.342151633723433,3.5126200071304585,4.61589804892793,346147335.21299183,77.07566666666666
SGP,2013Q3,304374.27655530995,347950077.1992844,255342947.99879768,5.364644630321231,3.508147699996827,4.581650866143951,347950077.1992844,77.12216666666667
SGP,2013Q4,307576.0,350901223.86,253325699.57,5.3855885,3.43,4.53,350901223.86,77.452
SGP,2014Q1,310566.5655401827,354894627.0455598,253594695.82240465,5.404651819136879,3.2564066154330473,4.463676643136224,354894627.0455598,77.84320000000001
SGP,2014Q2,313082.75235371274,358489171.5919648,255053254.58093235,5.422832486480177,3.0287241422175875,4.393788173262426,358489171.5919648,78.6386
SGP,2014Q3,314672.9662390679,359675144.9982742,256161022.46358484,5.440509541045208,2.8103965800525215,4.336718760810582,359675144.9982742,78.79873333333333
SGP,2014Q4,314864.0,356379052.39,255300011.35,5.4579,2.67,4.31,356379052.39,79.00123333333333
SGP,2015Q1,313494.7306872389,347596380.80947393,251422718.51072407,5.474935605812148,2.653872387427645,4.323753054062058,347596380.809474,78.14133333333334
SGP,2015Q2,311257.58925185126,334894742.4986845,245016369.13594887,5.492052645261162,2.7319652757434625,4.365401016788694,334894742.4986845,76.92093333333334
SGP,2015Q3,309090.96040301886,320735004.3221091,237020099.5468259,5.509000647960889,2.860156681330552,4.4172392393861415,320735004.3221091,76.81136666666667
SGP,2015Q4,307999.0,307870281.7,228530657.09,5.5253395,2.99,4.46,307870281.7,75.75326666666666
SGP,2016Q1,308713.98966241255,298539161.8448429,220647425.1241695,5.540633586899022,3.080122644023995,4.478549654110971,298539161.8448429,75.29866666666668
SGP,2016Q2,311041.03852851933,292843634.9804357,214190076.26822495,5.554711789963326,3.121260037293026,4.473817298150902,292843634.9804357,74.772
SGP,2016Q3,314623.5250488813,290572282.4883031,210021758.6062002,5.567326754429109,3.109372302922405,4.449570982042408,290572282.4883031,74.9959
SGP,2016Q4,319030.0,291595859.83,209145163.17,5.5779295,3.04,4.41,291595859.83,75.12266666666666
SGP,2017Q1,323841.5186715477,295584232.7834738,212133688.29639447,5.5861553849677055,2.9209471213379485,4.364067853043057,295584232.7834738,75.476
SGP,2017Q2,329330.03317247855,302427606.02254224,218759195.24951997,5.592823870283697,2.786535062770129,4.332454836811192,302427606.02254224,76.46283333333334
