iso3,quarter_t,gdp_current_usd,gdp_ppp_current_usd,total_exports_usd_k,total_imports_usd_k,population,exchange_rate,tariff_ahs_weighted,tariff_mfn_weighted
BRN,2020Q1,3055.1519227277313,6791.618009572499,982729.0474664941,1734377.998288229,0.44566966015077214,1.3761567074848589,0.17714693509615387,3.0024755859375
BRN,2020Q2,2918.532341365848,6822.399012402282,940174.8056808412,1744780.5076260418,0.4468343782768894,1.3792484983331308,0.18709785657051284,3.1132253689236107
BRN,2020Q3,2933.140121819044,6818.348428914847,981754.0741071701,1844946.1796689034,0.44796665135793634,1.3781610036835936,0.19202473958333333,3.124814453125
BRN,2020Q4,3098.9752640873776,6779.46625911037,1107466.8527454883,2034875.0144168288,0.44908262634096463,1.368345563488281,0.19560546875,3.081396484375
BRN,2021Q1,3292.899329749227,6735.23537468916,1048137.0828965753,1877748.1130806059,0.4501717140577799,1.355164829511719,0.19830078125,2.989619140625
BRN,2021Q2,3423.0716454221692,6708.5573182127555,1044589.5451923013,1841336.3657751977,0.45121817416147775,1.3453493893164064,0.19979817708333333,2.8443261718749997
BRN,2021Q3,3566.7103128364542,6681.399989261932,1486412.6886478812,2596344.116347283,0.4522063925371956,1.3453172902421875,0.19978515625,2.640361328125
BRN,2021Q4,3723.8153319921403,6653.763387836167,2373606.5132632405,4142771.3647969067,0.4531368040051195,1.3549284636015626,0.19794921875000002,2.372568359375
BRN,2022Q1,4004.100018678844,6607.510912697122,191339652.10607678,129359534.06898656,0.45403319543053433,1.3678348963984377,,
BRN,2022Q2,4256.77144481428,6567.975014863419,453262926.5241706,301971098.6266634,0.45492094053277626,1.3774460697578126,,
BRN,2022Q3,4296.719830567774,6565.958521083172,542949137.2090466,360960782.2788385,0.4558189009922049,1.378390849861328,,
BRN,2022Q4,4123.945175939094,6601.461431356263,460398284.16070604,306328585.0255116,0.45670840187291606,1.3738792584121093,,
BRN,2023Q1,3876.9784939449455,6637.342689395358,352900673.59557295,235265499.05457044,0.4575955873339645,1.3648887499785156,,
BRN,2023Q2,3755.612292244099,6656.6381811482715,333913952.933825,222608138.99393678,0.45849256063767274,1.3514534196542969,,
BRN,2023Q3,3721.211811649584,6688.0069058765075,312876639.6691265,208583819.96968317,0.45940927066561393,1.333607362533203,,
BRN,2023Q4,3773.777052161342,6731.448863579833,289788733.8014755,193192541.98180962,0.46034026568716424,1.3113846737089843,,
