iso3,quarter_t,date_quarterly,year,quarter,exchange_rate,GDP-CAP,gdp_ppp_current_usd,GDP-PPP-CAP,gdp_current_usd,GDP-VOL,population,total_exports_usd_k,total_imports_usd_k,tariff_ahs_weighted,tariff_mfn_weighted,date,TCU
JPN,2013Q2,2013-06-30,2013,2,88.45672492754375,45034.291644893514,4988878.383542941,39027.21441483827,5757049.560675866,4687001.329472309,127.83109736859112,718706218.9092956,844801684.6099756,6.230653285571999,7.187884647849898,2013-06-30,77.07566666666666
JPN,2013Q3,2013-09-30,2013,3,93.48950121010034,42689.84014357305,5013249.450810217,39233.94393432443,5455050.812882621,4709897.703131611,127.77867635393102,711428790.2808194,823562434.063438,6.2719292630389845,7.271427226432884,2013-09-30,77.12216666666667
JPN,2013Q4,2013-12-31,2013,4,97.59565828,40809.422254,5029693.213,39379.499335,5212328.181,4725346.453,127.7236455,708583475.97,806986724.3,6.18,7.23,2013-12-31,77.452
JPN,2014Q1,2014-03-31,2014,1,100.05321703296704,39766.68093279255,5036273.851232602,39448.35307086541,5076695.516145671,4731528.89664923,127.6671016355854,711383081.0458975,798102756.5209385,5.931110266136063,7.03243187328818,2014-03-31,77.84320000000001
JPN,2014Q2,2014-06-30,2014,2,101.61377458778276,39274.823936837274,5037327.523199011,39474.81697339059,5011493.779492692,4732518.810854949,127.60797711902552,715776211.8879163,793675181.4072965,5.600668981297429,6.747255421211827,2014-06-30,78.6386
JPN,2014Q3,2014-09-30,2014,3,103.24590246134667,38955.21101940357,5038227.477441086,39500.71978366313,4968424.20461005,4733364.308872553,127.54724590860512,716277406.6826786,789503367.2907367,5.297930843980179,6.474110555421635,2014-09-30,78.79873333333333
JPN,2014Q4,2014-12-31,2014,4,105.944781,38411.834908,5044591.442,39569.580363,4896994.405,4739343.19,127.4866045,707208557.48,781230169.07,5.14,6.32,2014-12-31,79.00123333333333
JPN,2015Q1,2015-03-31,2015,1,110.20270882343932,37407.55782652337,5059866.4760496775,39707.645296310184,4766983.692378284,4753693.931835672,127.42850660373372,685604700.537192,766317626.0270363,5.200238911984351,6.353401321024634,2015-03-31,78.14133333333334
JPN,2015Q2,2015-06-30,2015,2,115.1153607135051,36202.313334168655,5081324.477186023,39893.58295449257,4611447.017874867,4773853.509425449,127.3726463239451,655443372.8128984,747282689.1665528,5.409362090441063,6.513557706046606,2015-06-30,76.92093333333334
JPN,2015Q3,2015-09-30,2015,3,119.24189797550048,35223.167782863304,5104220.7706062235,40089.54748693611,4484822.22141726,4795364.348207278,127.32094020868254,623112066.2622904,728461085.327932,5.665886701069143,6.711173704030742,2015-09-30,76.81136666666667
JPN,2015Q4,2015-12-31,2015,4,121.0440257,34923.592074,5123318.682,40253.652019,4444930.652,4813306.645,127.2758725,595680877.63,714588499.06,5.86,6.85,2015-12-31,75.75326666666666
JPN,2016Q1,2016-03-31,2016,1,119.58995322075089,35576.89469963552,5135074.485732656,40357.5799679625,4526629.318637512,4824351.104985382,127.23904179649789,578504120.9188529,709117398.8391783,5.909187487095034,6.8594698739740325,2016-03-31,75.29866666666668
JPN,2016Q2,2016-06-30,2016,2,116.00584510367295,36848.19297370184,5142502.995298049,40425.56204407409,4687235.941654312,4831330.115307845,127.208721524078,570283221.5739872,710913226.9028187,5.834386432970796,6.765284272518862,2016-06-30,74.772
JPN,2016Q3,2016-09-30,2016,3,111.84655422510828,38274.12449875918,5150007.478856928,40492.83967887671,4867702.606920436,4838380.502393354,127.18285434113471,568560931.1427441,718057484.3536431,5.676480841715367,6.612479860291539,2016-09-30,74.9959
JPN,2016Q4,2016-12-31,2016,4,108.79290005,39349.477478,5161939.628,40594.067451,5003677.628,4849590.637,127.159951,570925547.86,728482296.73,5.48,6.45,2016-12-31,75.12266666666666
JPN,2017Q1,2017-03-31,2017,1,108.04474153729166,39712.64969173954,5180796.202397126,40749.26511797676,5049089.287413207,4867306.199896887,127.13867266767072,575368946.2676898,740240681.8874595,5.288703282849114,6.32130610978451,2017-03-31,75.476
JPN,2017Q2,2017-06-30,2017,2,108.99892171768192,39550.51769310832,5204333.171269759,40941.50618123645,5027624.913465948,4889418.946618142,127.1167178393878,582737938.2704581,753680458.0184392,5.116678519596999,6.232995663914443,2017-06-30,76.46283333333334
JPN,2017Q3,2017-09-30,2017,3,110.7123832992318,39146.45798001813,5228408.365477063,41138.70866679833,4975278.706533276,4912037.350693652,127.09250814581615,594546960.7706884,769251815.370095,4.98091488880797,6.190713428559197,2017-09-30,76.2727
JPN,2017Q4,2017-12-31,2017,4,112.1661411,38805.724619,5248419.242,41305.096184,4930837.369,4930837.369,127.06469,612176156.0,787221806.07,4.9,6.2,2017-12-31,77.5913
JPN,2018Q1,2018-03-31,2018,1,112.58514411525746,38762.2393080705,5261070.8425205,41414.89360728214,4924046.551404227,4942723.421155606,127.032845071719,634955902.6850438,806638942.4421008,4.8846599690530645,6.259696894199073,2018-03-31,77.87043333333334
JPN,2018Q2,2018-06-30,2018,2,112.17030318248663,38970.05123474658,5268833.330365433,41487.78089417119,4949027.731466696,4950016.200885547,126.99644019113742,657349031.1691736,824044567.5115665,4.922870290701982,6.357483700598769,2018-06-30,78.479
JPN,2018Q3,2018-09-30,2018,3,111.30882496319803,39326.84318817457,5274802.4830894675,41547.97131221656,4992777.015136842,4955624.1602215655,126.95621283189617,671399070.0114217,834262089.0744816,5.000194797371154,6.477135089872687,2018-09-30,79.10473333333333
JPN,2018Q4,2018-12-31,2018,4,110.42317934,39719.049747,5282187.1,41620.394279,5040880.939,4962561.934,126.9134325,668775926.91,831891680.53,5.1,6.6,2018-12-31,79.4413
JPN,2019Q1,2019-03-31,2019,1,109.8497388403884,40043.56331436646,5292025.306726813,41712.77317362515,5080275.076870335,4971804.830852701,126.86941946556472,647107590.7916623,815381709.9870538,5.200788824887921,6.706980991389573,2019-03-31,78.62053333333334
JPN,2019Q2,2019-06-30,2019,2,109.51555351804656,40278.76839727637,5297858.891771093,41775.04955520503,5108118.82358319,4977285.425678764,126.8207928454703,622687280.8338046,794635548.3253759,5.275857857805404,6.788526703325745,2019-06-30,77.75146666666667
JPN,2019Q3,2019-09-30,2019,3,109.28324282949966,40403.1340825326,5290574.484843677,41735.93476958899,5121626.664161391,4970441.798253909,126.7648336020054,617632564.7803224,783154541.1929783,5.290673126431121,6.830908382549283,2019-09-30,77.58616666666667
JPN,2019Q4,2019-12-31,2019,4,109.0096659,40394.768276,5260943.771,41523.028485,5117993.853,4942604.039,126.6994235,654804747.44,795029187.31,5.21,6.82,2019-12-31,76.96305000000001
