country_code,Country,year,indicator_name,series,value
CHN,China,2011,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,5.99
CHN,China,2014,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.6
CHN,China,2014,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,4.74
CHN,China,2015,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,5.58
CHN,China,2015,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,4.52
CHN,China,2016,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,4.29
CHN,China,2016,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.54
CHN,China,2017,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,4.89
CHN,China,2017,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.83
CHN,China,2018,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,4.27
CHN,China,2018,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,3.39
CHN,China,2019,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.29
CHN,China,2019,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,2.53
CHN,China,2020,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.31
CHN,China,2020,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,2.47
CHN,China,2021,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.08
CHN,China,2021,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,2.31
CHN,China,2022,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,2.86
CHN,China,2022,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,2.18
CZE,Czechia,2005,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.54
CZE,Czechia,2005,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,2.46
CZE,Czechia,2006,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.33
CZE,Czechia,2006,MFN_WEIGHTED,TM.TAX.MRCH.WM.AR.ZS,2.3
CZE,Czechia,2007,APPLIED_WEIGHTED,TM.TAX.MRCH.WM.FN.ZS,3.23
